group,score,n,actual_recid_rate
African-American,1,365,0.2328767123287671
Caucasian,1,605,0.2115702479338843
African-American,2,346,0.30346820809248554
Caucasian,2,321,0.3115264797507788
African-American,3,298,0.41946308724832215
Caucasian,3,238,0.3445378151260504
African-American,4,337,0.4688427299703264
Caucasian,4,243,0.40329218106995884
African-American,5,323,0.4891640866873065
Caucasian,5,200,0.455
African-American,6,318,0.5880503144654088
Caucasian,6,160,0.58125
African-American,7,343,0.60932944606414
Caucasian,7,113,0.6017699115044248
African-American,8,301,0.7142857142857143
Caucasian,8,96,0.75
African-American,9,317,0.722397476340694
Caucasian,9,77,0.7142857142857143
African-American,10,227,0.8370044052863436
Caucasian,10,50,0.7
